Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://blank_Nodes_IRI.org/35,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2011-01-01,
https://blank_Nodes_IRI.org/36,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/37,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,38,39,,
https://blank_Nodes_IRI.org/26,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/38,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2014-01-01,
https://blank_Nodes_IRI.org/39,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/40,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,41,42,,
https://blank_Nodes_IRI.org/41,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2015-01-01,
https://blank_Nodes_IRI.org/42,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/43,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,44,45,,
https://blank_Nodes_IRI.org/44,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2023-01-01,
https://blank_Nodes_IRI.org/45,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/46,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,47,48,,
https://blank_Nodes_IRI.org/47,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2020-02-01,
https://blank_Nodes_IRI.org/27,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/48,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/49,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,50,51,,
https://blank_Nodes_IRI.org/50,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2013-07-01,
https://blank_Nodes_IRI.org/51,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/52,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,53,54,,
https://blank_Nodes_IRI.org/53,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2011-01-01,
https://blank_Nodes_IRI.org/54,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/55,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,56,57,,
https://blank_Nodes_IRI.org/56,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2014-01-01,
https://blank_Nodes_IRI.org/57,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/58,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,59,60,,
https://blank_Nodes_IRI.org/61,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,62,63,,
https://blank_Nodes_IRI.org/62,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2015-01-01,
https://blank_Nodes_IRI.org/63,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/64,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,65,66,,
https://blank_Nodes_IRI.org/65,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2023-01-01,
https://blank_Nodes_IRI.org/66,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/67,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,68,69,,
